,Module,Direction
Gene1,M1,Down
Gene2,M2,Down
Gene3,M3,Down
Gene4,M4,Down
Gene5,M5,Down
Gene6,M6,Down
Gene7,M1,Down
Gene8,M2,Down
Gene9,M3,Down
Gene10,M4,Down
Gene11,M5,Down
Gene12,M6,Down
Gene13,M1,Down
Gene14,M2,Down
Gene15,M3,Down
Gene16,M4,Down
Gene17,M5,Down
Gene18,M6,Down
Gene19,M1,Down
Gene20,M2,Down
Gene21,M3,Down
Gene22,M4,Up
Gene23,M5,Up
Gene24,M6,Up
Gene25,M1,Up
Gene26,M2,Up
Gene27,M3,Up
Gene28,M4,Up
Gene29,M5,Up
Gene30,M6,Up
Gene31,M1,Up
Gene32,M2,Up
Gene33,M3,Up
Gene34,M4,Up
Gene35,M5,Up
Gene36,M6,Up
Gene37,M1,Up
Gene38,M2,Up
Gene39,M3,Up
Gene40,M4,Up
Gene41,M5,Up
Gene42,M6,Up
